"订单编号","标题","价格","购买数量","外部系统编号","商品属性","套餐信息","备注","订单状态","商家编码"
="160674566150758395","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="160309166158606182","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="160378100631606182","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="160167960142191273","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="160141836820602983","陕西阎良黄金蜜瓜甜瓜香瓜当季水果新鲜现摘现发黄金瓜5斤包邮","69.80","1","null","null","null","null","交易成功","null"
="160061002381602983","陕西阎良黄金蜜瓜甜瓜香瓜当季水果新鲜现摘现发黄金瓜5斤包邮","69.80","1","null","null","null","null","交易成功","null"
="144493638432407846","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘现发蜜瓜包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157737205490396204","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157846555750251322","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易关闭","CLC1180101250025"
="143809120393866144","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="143837851145522852","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157459483640701505","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="158744275463175688","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="143429076669781047","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","2","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="158507758858723282","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="158511873555723282","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
="157107355531865511","陕西阎良甜瓜香瓜白皮哈密瓜新鲜当季水果现摘蜜瓜5斤包邮非绿宝","39.00","1","CLC1180101250025","null","null","null","交易成功","CLC1180101250025"
