商户订单号,发生时间,收入金额（+元）,支出金额（-元）,帐务类型,备注
180407-395350280322802,2018/4/11 18:37,0.67,0,优惠券结算,交易成功优惠券支付金额结算
180407-518652321280532,2018/4/11 18:22,15.46,0,优惠券结算,交易成功优惠券支付金额结算
180402-541107453442297,2018/4/11 16:57,0,-0.8,优惠券结算,退款扣除优惠券支付金额
180402-541107453442297,2018/4/11 16:57,0.8,0,优惠券结算,交易成功优惠券支付金额结算
180407-261807024640940,2018/4/11 16:12,0,-5,优惠券结算,退款补用户优惠券
180407-261807024640940,2018/4/11 16:12,5,0,优惠券结算,交易成功优惠券支付金额结算
180407-360404877443890,2018/4/11 14:21,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-497935050241349,2018/4/11 13:40,0,-3,优惠券结算,退款补用户优惠券
180407-497935050241349,2018/4/11 13:40,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-431293750403083,2018/4/11 12:58,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180406-431293750403083,2018/4/11 12:58,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-525919548161349,2018/4/11 12:20,3,0,优惠券结算,交易成功优惠券支付金额结算
180408-273253507202081,2018/4/11 11:26,3,0,优惠券结算,交易成功优惠券支付金额结算
180407-282740232960770,2018/4/11 11:19,10,0,优惠券结算,交易成功优惠券支付金额结算
180405-526995296000655,2018/4/11 10:36,0.71,0,优惠券结算,交易成功优惠券支付金额结算
180405-507064600322878,2018/4/11 9:57,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-485005678081766,2018/4/11 9:09,0,-3,优惠券结算,退款补用户优惠券
180406-485005678081766,2018/4/11 9:09,3,0,优惠券结算,交易成功优惠券支付金额结算
180402-330407104001215,2018/4/11 8:52,10,0,优惠券结算,交易成功优惠券支付金额结算
180404-481246051841553,2018/4/11 8:38,3,0,优惠券结算,交易成功优惠券支付金额结算
180406-228454357761929,2018/4/11 6:28,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180403-261804613120675,2018/4/11 5:56,1.01,0,优惠券结算,交易成功优惠券支付金额结算
180408-125392714880796,2018/4/10 20:07,1.09,0,优惠券结算,交易成功优惠券支付金额结算
180406-500335051523266,2018/4/10 19:36,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180407-535453458561494,2018/4/10 18:32,10,0,优惠券结算,交易成功优惠券支付金额结算
180403-290097282560992,2018/4/10 17:15,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-444333249281474,2018/4/10 17:12,2,0,优惠券结算,交易成功优惠券支付金额结算
180407-395616167681251,2018/4/10 15:15,0,-1,优惠券结算,退款扣除优惠券支付金额
180407-395616167681251,2018/4/10 15:15,1,0,优惠券结算,交易成功优惠券支付金额结算
180406-307382336003507,2018/4/10 15:14,0,-0.65,优惠券结算,退款扣除优惠券支付金额
180406-307382336003507,2018/4/10 15:14,0.65,0,优惠券结算,交易成功优惠券支付金额结算
180402-328340806403047,2018/4/10 13:28,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-444057833600107,2018/4/10 12:49,0,-3,优惠券结算,退款补用户优惠券
180406-444057833600107,2018/4/10 12:49,3,0,优惠券结算,交易成功优惠券支付金额结算
180408-301096394240837,2018/4/10 12:32,10,0,优惠券结算,交易成功优惠券支付金额结算
180402-450261173764090,2018/4/10 12:09,0,-0.6,优惠券结算,退款扣除优惠券支付金额
180402-450261173764090,2018/4/10 12:09,0.6,0,优惠券结算,交易成功优惠券支付金额结算
180406-363678118401943,2018/4/10 10:30,3,0,优惠券结算,交易成功优惠券支付金额结算
180410-289157420163975,2018/4/10 10:11,0,-10,优惠券结算,退款补用户优惠券
180410-289157420163975,2018/4/10 10:11,10,0,优惠券结算,交易成功优惠券支付金额结算
180406-216390059524022,2018/4/10 9:58,1.02,0,优惠券结算,交易成功优惠券支付金额结算
180406-389405258883437,2018/4/10 9:00,0,-0.74,优惠券结算,退款扣除优惠券支付金额
180406-389405258883437,2018/4/10 9:00,0.74,0,优惠券结算,交易成功优惠券支付金额结算
180408-332065226883437,2018/4/10 8:59,0,-0.66,优惠券结算,退款扣除优惠券支付金额
180408-332065226883437,2018/4/10 8:59,0.66,0,优惠券结算,交易成功优惠券支付金额结算
180406-458990056961273,2018/4/10 8:58,3,0,优惠券结算,交易成功优惠券支付金额结算
180409-530604117141811,2018/4/10 8:52,0,-0.5,优惠券结算,退款扣除优惠券支付金额
180409-530604117141811,2018/4/10 8:52,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180405-383166333444014,2018/4/10 8:51,0,-0.64,优惠券结算,退款扣除优惠券支付金额
180405-383166333444014,2018/4/10 8:51,0.64,0,优惠券结算,交易成功优惠券支付金额结算
180408-340162020482444,2018/4/10 8:39,0.5,0,优惠券结算,交易成功优惠券支付金额结算
180405-208619933443478,2018/4/10 6:03,10,0,优惠券结算,交易成功优惠券支付金额结算
