订单号,商品ID,商品名称,扣款原因,申请人,申请时间,申请扣款金额(元),打款状态
180429-533229415683197,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0313:47:35,9,小额打款成功
180429-515300039690421,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0313:31:12,5,小额打款成功
180427-394800071680464,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0312:47:16,4,小额打款成
180430-350804771843797,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0311:24:36,4.5,小额打款成功
180429-505652031361438,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0310:50:22,9,小额打款成功
180429-505589969922545,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0310:33:54,4.5,小额打款成功
180402-542865160962348,780165576,红富士苹果水果10斤装（18头装）果经85-110mm陕西新鲜苹果不打蜡,小额补偿,合曼：002,2018-05-0310:05:30,8,小额打款成功
180429-414906798083359,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0309:11:16,9.9,小额打款成功
180427-320648792963069,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0308:53:10,4.7,小额打款成功
180429-523257560961274,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0308:41:57,4,小额打款成功
180407-260779993601752,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：002,2018-05-0308:38:29,5,小额打款成功
180428-377153599361835,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0220:58:10,4.5,小额打款成功
180429-288411081600389,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0220:21:09,6.6,小额打款成
180429-539136277761710,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0219:09:51,6,小额打款成功
180429-257399461120775,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0218:11:49,4.5,小额打款成功
180402-539609177600925,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：002,2018-05-0217:35:23,8,小额打款成功
180428-371031379842382,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0217:32:25,4,小额打款成功
180429-515406202883851,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0217:01:08,6,小额打款成功
180429-502868430080936,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0215:00:39,3,小额打款成功
180427-349676145921114,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0214:42:07,5,小额打款成功
180428-404696193282627,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0214:13:29,3.5,小额打款成功
180429-521193702402687,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0214:12:31,3,小额打款成功
180423-239428720643041,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：002,2018-05-0213:45:12,3.5,小额打款成
180430-242763587842055,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0213:37:46,4,小额打款成功
180428-468256922881254,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0213:08:45,4,小额打款成功
180427-388820875522369,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0212:59:51,7,小额打款成功
180429-368879105282835,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0212:23:09,5,小额打款成功
180429-497516871683447,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：002,2018-05-0212:15:19,4,小额打款成功
180419-309111093123321,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-05-0122:21:40,8,小额打款成功
180429-306495530890047,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,pdd20760431198,2018-05-0120:45:35,12,小额打款成功
180427-226196588803117,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0118:30:02,4,小额打款成功
180406-237489084161565,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-05-0117:16:44,6,小额打款成功
180426-434299105283000,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-05-0116:07:01,1.6,小额打款成
180429-286058711042565,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0114:17:50,19.8,小额打款成功
180405-472592751360968,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-05-0111:36:13,9,小额打款成功
180426-507002009602411,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0110:21:15,18,小额打款成功
180427-331720121602663,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0110:14:53,5,小额打款成功
180427-316200821760955,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0109:37:50,4,小额打款成功
180426-515495870722165,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-05-0109:24:15,7,小额打款成功
180426-517397582731718,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-3021:13:48,4,小额打款成功
180427-114536207363732,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-3020:50:50,4.6,小额打款成功
180427-252342287363098,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-3020:07:41,4,小额打款成功
180423-309589616641599,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-3019:50:35,4,小额打款成
180426-463107719050794,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮,小额补偿,合曼：子玉,2018-04-3019:32:39,4,小额打款成功
180413-399624246404076,968018882,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜哈密瓜包邮【预售：5月6日发完】,小额补偿,合曼：子玉,2018-04-3019:17:02,7,小额打款成功
180427-353879579522875,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-3018:27:57,4,小额打款成功
180406-277803123842592,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-3017:25:42,22.8,小额打款成功
180403-422667272963756,780165576,红富士苹果水果10斤装（18头装）果经85-110mm陕西新鲜苹果不打蜡,小额补偿,合曼：子玉,2018-04-3017:17:08,4,小额打款成功
180407-223092995840520,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-3014:50:27,10,小额打款成功
180427-482614611200424,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-3014:37:32,4.5,小额打款成功
180427-422648970241134,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-3014:24:36,4,小额打款成功
180420-296160319360475,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-3014:04:49,3.5,小额打款成功
180426-455531321603092,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮,小额补偿,合曼：子玉,2018-04-3013:33:25,6,小额打款成
180427-293672485763965,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-3012:42:55,4,小额打款成功
180426-520666440960873,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-3012:20:14,5,小额打款成功
180422-493089840000524,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-3008:45:49,5,小额打款成功
180406-229207422721017,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2920:27:47,5.7,小额打款成功
180427-282846240002190,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-2920:20:58,8,小额打款成功
180423-265724637450388,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2919:10:11,9.12,小额打款成功
180427-252778946562465,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-2917:06:21,5,小额打款成功
180422-463535473920915,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2916:43:51,8.5,小额打款成功
180424-336946617613354,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-04-2916:43:04,3,小额打款成功
180423-271739106560830,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,差价补偿,合曼：子玉,2018-04-2915:43:16,3,小额打款成
180410-486666334720195,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2914:53:53,6,小额打款成功
180401-364233536002087,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2914:35:50,5,小额打款成功
180427-300344366082735,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-2913:45:25,4,小额打款成功
180426-519489643522324,825248048,现摘现发陕西阎良甜瓜5斤装(4-6个装)新鲜时令水果香瓜蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-2911:59:56,1,小额打款成功
180418-458726069763755,968018882,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜哈密瓜包邮【预售：5月6日发完】,小额补偿,合曼：子玉,2018-04-2911:58:00,3.5,小额打款成功
180406-413724578562825,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2910:50:16,4,小额打款成功
180422-509417934721899,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,差价补偿,合曼：子玉,2018-04-2910:38:35,3,小额打款成功
180422-279267395843515,968018882,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜哈密瓜包邮【预售：5月6日发完】,小额补偿,合曼：子玉,2018-04-2910:27:14,3.8,小额打款成功
180423-347231600641178,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-04-2909:26:20,8,小额打款成功
180425-337078241280555,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2908:41:41,4.5,小额打款成
180426-120137600000757,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮,小额补偿,合曼：子玉,2018-04-2908:40:57,4.5,小额打款成功
180406-508622446083517,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2821:48:09,4.5,小额打款成功
180422-387090695042420,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2820:24:19,4.56,小额打款成功
180412-331622187521003,968018882,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜哈密瓜包邮【预售：5月6日发完】,小额补偿,合曼：子玉,2018-04-2820:23:23,8,小额打款成功
180406-286494738572867,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2820:22:37,6,小额打款成功
180422-474603207683920,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2820:21:51,7.5,小额打款成功
180406-502205248654058,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2820:21:00,4.5,小额打款成功
180422-517728424970658,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2815:59:24,5,小额打款成功
180405-491387006722689,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2815:30:21,22.8,小额打款成功
180423-277227849601497,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2815:14:17,3.5,小额打款成
180404-368456282882898,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2813:52:29,5.7,小额打款成功
180404-261722028803116,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2813:34:32,5.7,小额打款成功
180406-518138074240663,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2813:33:44,5,小额打款成功
180424-503544729603440,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-04-2812:47:31,15,小额打款成功
180404-499574929921437,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2812:32:09,22.8,小额打款成功
180417-310294529920152,968018882,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜哈密瓜包邮【预售：5月6日发完】,小额补偿,合曼：子玉,2018-04-2812:27:45,5,小额打款成功
180331-462641457281513,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2812:26:54,8,小额打款成功
180404-162221745923549,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2812:25:16,5,小额打款成功
180406-518798266882369,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2811:53:22,22.8,小额打款成功
180423-228832979843217,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2811:01:37,3.9,小额打款成
180422-483251267842566,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2810:56:51,12,小额打款成功
180404-312299165440097,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2810:25:13,22.8,小额打款成功
180423-409714329603470,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2810:20:43,22.8,小额打款成功
180423-301585203202953,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,差价补偿,合曼：子玉,2018-04-2809:06:58,9,小额打款成功
180427-500930284803769,825248048,现摘现发阎良甜瓜5斤装(4-6个装)新鲜时令水果蜜瓜甜瓜,小额补偿,合曼：子玉,2018-04-2723:12:44,2.9,小额打款成功
180416-511295114883018,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-04-2722:59:27,15,小额打款成功
180413-113378398722695,968018882,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜哈密瓜包邮【预售：5月6日发完】,小额补偿,合曼：子玉,2018-04-2722:43:27,4.5,小额打款成功
180407-396846508163061,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2722:40:32,15,小额打款成功
180418-487817523842598,1004242981,头茬阎良甜瓜5斤（4-6个装）新鲜时令水果陕西甜瓜蜜瓜香瓜哈密瓜【预售：5月10日发完】,小额补偿,合曼：子玉,2018-04-2722:28:17,5.7,小额打款成功
180404-247479607042461,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2722:08:12,5.7,小额打款成
180405-378431459841748,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2722:00:27,6.4,小额打款成功
180406-315745758721615,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:50:42,5,小额打款成功
180411-476081242244029,968018882,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜哈密瓜包邮【预售：5月6日发完】,小额补偿,合曼：子玉,2018-04-2721:48:51,9,小额打款成功
180423-266851518723138,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:44:48,9,小额打款成功
180407-464139523842550,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:42:32,3,小额打款成功
180419-429167191680367,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:40:25,4,小额打款成功
180403-525484259842744,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:37:35,3.5,小额打款成功
180423-248103267202690,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:35:17,5,小额打款成功
180423-302681432960076,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:33:58,4,小额打款成功
180407-325601780481621,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:30:24,4,小额打款成
180422-471704156162556,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:04:46,5.7,小额打款成功
180407-492042688000284,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2720:55:54,6,小额打款成功
180407-535453458561494,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-04-2715:43:58,2,小额打款成功
180402-469109875840142,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2715:25:52,14,小额打款成功
180413-427606510721295,968018882,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜哈密瓜包邮【预售：5月6日发完】,小额补偿,合曼：子玉,2018-04-2714:51:24,14.6,小额打款成功
180406-155551014403778,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2714:00:08,18,小额打款成功
180405-246274778882314,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2713:02:47,4,小额打款成功
180405-504842346242314,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2712:43:59,5.7,小额打款成功
180423-518105794562468,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-04-2712:41:33,4.5,小额打款成功
180402-430269376641850,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2712:40:15,10,小额打款成
180422-471704156162556,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2721:04:46,5.7,小额打款成功
180407-492042688000284,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2720:55:54,6,小额打款成功
180407-535453458561494,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-04-2715:43:58,2,小额打款成功
180402-469109875840142,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2715:25:52,14,小额打款成功
180413-427606510721295,968018882,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜哈密瓜包邮【预售：5月6日发完】,小额补偿,合曼：子玉,2018-04-2714:51:24,14.6,小额打款成功
180406-155551014403778,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2714:00:08,18,小额打款成功
180405-246274778882314,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2713:02:47,4,小额打款成功
180405-504842346242314,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2712:43:59,5.7,小额打款成功
180423-518105794562468,780165576,红富士苹果水果10斤（16-18头装）果经85-110mm陕西新鲜苹果脆甜,小额补偿,合曼：子玉,2018-04-2712:41:33,4.5,小额打款成功
180402-430269376641850,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2712:40:15,10,小额打款成
180402-536590226560700,825248048,陕西阎良甜瓜5斤（4-6个装）新鲜时令水果香瓜蜜瓜甜瓜现摘包邮【预售：4月29日发完】,小额补偿,合曼：子玉,2018-04-2619:50:43,6,小额打款成功
